GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FindYourPlace,com.is.findyourplace.controller.gestioneAmministratori,NotificationController,0,101,2,8,0,25,2,6,0,3
FindYourPlace,com.is.findyourplace.controller.gestioneUtenza,AccountController,13,105,3,15,4,26,3,9,0,3
FindYourPlace,com.is.findyourplace.controller.gestioneUtenza,CustomUserDetails,27,10,2,0,6,2,5,1,4,1
FindYourPlace,com.is.findyourplace.controller.gestioneUtenza,ProfileController,4,187,6,18,2,47,6,11,0,5
FindYourPlace,com.is.findyourplace.service.gestioneUtenza,AccountServiceImpl,0,109,0,2,0,29,0,8,0,7
FindYourPlace,com.is.findyourplace.service.gestioneUtenza,ProfileServiceImpl,0,110,0,4,0,32,0,7,0,5
FindYourPlace,com.is.findyourplace.service.gestioneUtenza,CustomUserDetailsService,16,6,2,0,5,3,2,1,1,1
FindYourPlace,com.is.findyourplace.configuration,WebApplicationConfig,0,24,0,0,0,5,0,4,0,4
FindYourPlace,com.is.findyourplace.configuration,WebSecurityConfig,0,154,0,0,0,28,0,7,0,7
FindYourPlace,com.is.findyourplace,ServletInitializer,12,0,0,0,2,0,2,0,2,0
FindYourPlace,com.is.findyourplace.service.gestioneAmministratori,EmailService,21,6,0,0,7,1,1,1,1,1
FindYourPlace,com.is.findyourplace.service.gestioneAmministratori,NotificationServiceImpl,0,112,0,2,0,28,0,4,0,3
FindYourPlace,com.is.findyourplace.service.gestioneRicerca,SearchServiceImpl,397,21,16,0,91,8,13,1,5,1
FindYourPlace,com.is.findyourplace.controller.gestioneRicerca,SearchController,251,17,18,0,57,6,11,1,2,1
FindYourPlace,com.is.findyourplace.controller.gestioneRicerca,SearchController.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
